,GLD
2026-03-24,404.1300048828125
2026-03-25,416.2900085449219
2026-03-26,400.6400146484375
2026-03-27,414.70001220703125
2026-03-30,414.5799865722656
2026-03-31,430.2900085449219
2026-04-01,437.82000732421875
2026-04-02,429.4100036621094
2026-04-06,427.6499938964844
2026-04-07,431.80999755859375
2026-04-08,434.5299987792969
2026-04-09,437.9100036621094
2026-04-10,437.1300048828125
2026-04-13,435.3599853515625
2026-04-14,445.0899963378906
2026-04-15,440.4599914550781
2026-04-16,440.0799865722656
2026-04-17,445.92999267578125
2026-04-20,442.0899963378906
2026-04-21,429.57000732421875
2026-04-22,435.260009765625
2026-04-23,431.0400085449219
2026-04-24,433.25
2026-04-27,429.8900146484375
2026-04-28,421.9100036621094
2026-04-29,417.4100036621094
2026-04-30,423.6600036621094
2026-05-01,423.17999267578125
2026-05-04,414.7099914550781
2026-05-05,418.2699890136719
2026-05-06,430.9599914550781
2026-05-07,431.67999267578125
2026-05-08,433.7699890136719
2026-05-11,434.6499938964844
2026-05-12,432.92999267578125
2026-05-13,430.5
2026-05-14,427.2099914550781
2026-05-15,417.2900085449219
2026-05-18,418.42999267578125
2026-05-19,411.5
2026-05-20,417.3999938964844
2026-05-21,416.989990234375
2026-05-22,413.82000732421875
2026-05-26,414.0
2026-05-27,408.489990234375
2026-05-28,412.7699890136719
2026-05-29,417.1199951171875
2026-06-01,411.260009765625
2026-06-02,411.95001220703125
2026-06-03,407.8699951171875
2026-06-04,411.2699890136719
2026-06-05,396.239990234375
2026-06-08,397.2699890136719
2026-06-09,390.7799987792969
2026-06-10,374.5799865722656
2026-06-11,386.32000732421875
2026-06-12,386.5400085449219
2026-06-15,396.54998779296875
2026-06-16,397.6300048828125
2026-06-17,388.6000061035156
